008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",The Way Home [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100061.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",Ultima Thule [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100071.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",The Fortunes of Richard Mahony [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100091.txt,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",Two Hanged Women [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100191.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",Complete Stories [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200661.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Rowcroft, Charles, 1798-1856.",Tales of the Colonies [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0601291h.html,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Rowcroft, Charles, 1798-1856.",The Bushranger of Van Diemen's Land [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607171h.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Rudd, Steele, 1868-1935.",Our New Selection [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500131h.html,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Scott, Ernest, 1868-1939.",A Short History of Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200471h.html,00324nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Scott, Ernest, 1868-1939.",Australian Discovery [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0201001h.html,00316nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Spence, Catherine Helen, 1825-1910.",A Week in the Future [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603381h.html,00326nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Spence, Catherine Helen, 1825-1910.",Woman's Place in the Commonwealth [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607391h.html,00339nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Spence, Catherine Helen, 1825-1910.",Gathered In [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607401h.html,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Stone, Louis, 1871-1935.",Betty Wayside [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607551h.html,00308nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tasma, 1848-1897.",A Sydney Sovereign And Other Tales [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607621h.html,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tasma, 1848-1897.",The Penance of Portia James [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607651h.html,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tasma, 1848-1897.",Uncle Piper of Piper's Hill [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607661h.html,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tasman, Abel Janszoon, 1603?-1659.",The Journal of Abel Jansz Tasman [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400771h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tucker, James, 1808?-1888.",Ralph Rashleigh (1929 edition) [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301281.txt,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Tucker, James, 1808?-1888.",Ralph Rashleigh (1952 edition) [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301291.txt,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Vaux, James Hardy, fl.1812-.",A New and Comprehensive Vocabulary of the Flash Language [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600111.txt,00353nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Vidal, Francis, Mrs, 1815-1873.",The Convict Laundress [electronic resource] / Mary Theresa Vidal.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606851h.html,00346nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Vidal, Francis, Mrs, 1815-1873.",Tales for the Bush [electronic resource] / Mary Theresa Vidal.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607631h.html,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Vidal, Francis, Mrs, 1815-1873.",Bengala [electronic resource] / Mary Theresa Vidal.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607641h.html,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Walker, Frederick, 1820?-1866.",Journal of Expedition in search of Burke and Wills [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600191.txt,00349nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Walker, James Backhouse, 1841-1899.",Abel Janszoon Tasman [electronic resource] : his Life and Voyages.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600531h.html,00350nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Walker, James Backhouse, 1841-1899.",The Discovery of Van Diemen's Land in 1642 [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600551h.html,00348nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wall, Dorothy, 1894-1942.",Blinky Bill [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400571h.html,00307nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wall, Dorothy, 1894-1942.",Blinky Bill and Nutsy [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400581h.html,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wall, Dorothy, 1894-1942.",Blinky Bill Grows Up [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400591h.html,00316nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wall, Dorothy, 1894-1942.",The Complete Adventures of Blinky Bill [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400601h.html,00334nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Warung, Price, 1855-1911.",Half Crown Bob [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607581h.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Warung, Price, 1855-1911.",Tales of the Early Days [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607591h.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Watling, Thomas, b.1762.",Letters from an Exile at Botany Bay [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400011.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Wells, T. E. (Thomas E.), 1782-1833.",Michael Howe [electronic resource] : the Last and Worst of the Bush-Rangers of Van Dieman's Land.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606831h.html,00383nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"White, John, 1757 or 8-1832.",Journal of a Voyage to New South Wales [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301531h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Withnell, John G.",The Customs and Traditions of the Aboriginal Natives of North Western Australia. [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607011h.html,00367nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Witton, George, 1874-1942.",Scapegoats of the Empire [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400611.txt,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Worgan, George B., 1757-1838.",Journal of a First Fleet Surgeon [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400181.txt,00330nam  2200085ua 45e0
